
Similarity
Label,n,Wynyard Formation,Devonian-Carboniferous Granitoids,Mount Read Volcanics,Oonah Formation,Luina Group,Crimson Creek Formation,Arthur Lineament,Success Creek Group,Wings Sandstone,Rocky Cape Group,Tyennan Element,Forest Conglomerant (Togari Group),Stitt Quartzite
Rocky Cape Group,805,1.1102230246251565e-16,2.4596808200136446e-90,2.1094237467877974e-15,1.5463085439204605e-05,1.5900652803816403e-52,1.2212453270876722e-15,1.7763568394002505e-15,0.6428457139115212,2.220446049250313e-16,1.0,1.3362906514102768e-05,0.0003963646034699231,0.003756031034184981
Tyennan Element,144,5.197547572635159e-48,5.551115123125783e-16,5.551115123125783e-16,0.0059050307082727516,4.440892098500626e-16,5.551115123125783e-16,4.249202040575758e-27,0.00010631846935604816,8.53411011195995e-42,1.3362906514102768e-05,1.0,0.367546964874355,1.4205804949041223e-06
Forest Conglomerant (Togari Group),231,1.9984014443252818e-15,2.6597236486784445e-69,5.551115123125783e-16,0.03713202673555016,3.3306690738754696e-16,4.440892098500626e-16,5.048597340999449e-29,0.0012851629867214331,1.1102230246251565e-16,0.0003963646034699231,0.367546964874355,1.0,1.8651572451844345e-05
Stitt Quartzite,35,1.892708212380967e-12,2.9832687810997464e-31,2.149258548911348e-11,0.0009231813448777881,2.2104540420286867e-13,7.314637788796227e-43,0.12309883051905035,0.053521370506009025,3.447752083829414e-09,0.003756031034184981,1.4205804949041223e-06,1.8651572451844345e-05,1.0

Kuiper Vmax
Label,n,Wynyard Formation,Devonian-Carboniferous Granitoids,Mount Read Volcanics,Oonah Formation,Luina Group,Crimson Creek Formation,Arthur Lineament,Success Creek Group,Wings Sandstone,Rocky Cape Group,Tyennan Element,Forest Conglomerant (Togari Group),Stitt Quartzite
Wynyard Formation,583,0.0,0.875765743690272,0.5029512662698011,0.4987331106496946,0.25074068298768126,0.8823293761848876,0.5742189758513694,0.5950543167524298,0.6318732655594137,0.635170407934969,0.7164808461978274,0.6033651882708486,0.6615535407988238
Devonian-Carboniferous Granitoids,77,0.875765743690272,0.0,0.922077922077922,0.9210298473456368,0.935064935064935,0.9506578947368421,0.935064935064935,0.935064935064935,0.935064935064935,0.948051948051948,0.948051948051948,0.935064935064935,0.948051948051948
Mount Read Volcanics,272,0.5029512662698011,0.922077922077922,0.0,0.5411119711042311,0.6546852211959164,0.9469814241486069,0.5685723727693325,0.5691844919786097,0.7606109516977523,0.6136691633175009,0.6437908496732027,0.5736408199643493,0.6221638655462184
Oonah Formation,285,0.4987331106496946,0.9210298473456368,0.5411119711042311,0.0,0.587385819921705,0.9302631578947369,0.5303075103489059,0.2626794258373206,0.7541292255027814,0.23602484472049692,0.23918128654970758,0.17912964228753703,0.5107769423558898
Luina Group,121,0.25074068298768126,0.935064935064935,0.6546852211959164,0.587385819921705,0.0,0.8302250978686385,0.6011932398551397,0.6680440771349863,0.6123765369885104,0.7177146963708227,0.7599862258953168,0.6702085792994883,0.7234946871310508
Crimson Creek Formation,304,0.8823293761848876,0.9506578947368421,0.9469814241486069,0.9302631578947369,0.8302250978686385,0.0,0.9506578947368421,0.9506578947368421,0.9506578947368421,0.9547523700555737,0.9572368421052632,0.944078947368421,0.9605263157894737
Arthur Lineament,356,0.5742189758513694,0.935064935064935,0.5685723727693325,0.5303075103489059,0.6011932398551397,0.9506578947368421,0.0,0.3839802519577801,0.5137708961359277,0.41080326610370577,0.5490792759051186,0.4927039252881949,0.23154093097913325
Success Creek Group,132,0.5950543167524298,0.935064935064935,0.5691844919786097,0.2626794258373206,0.6680440771349863,0.9506578947368421,0.3839802519577801,0.0,0.7509238728750924,0.10688876341050252,0.3472222222222222,0.28787878787878796,0.35
Wings Sandstone,123,0.6318732655594137,0.935064935064935,0.7606109516977523,0.7541292255027814,0.6123765369885104,0.9506578947368421,0.5137708961359277,0.7509238728750924,0.0,0.736656062212796,0.7808265582655827,0.7687678175483054,0.597444831591173
Rocky Cape Group,805,0.635170407934969,0.948051948051948,0.6136691633175009,0.23602484472049692,0.7177146963708227,0.9547523700555737,0.41080326610370577,0.10688876341050252,0.736656062212796,0.0,0.300879917184265,0.2396386222473179,0.4124223602484471
Tyennan Element,144,0.7164808461978274,0.948051948051948,0.6437908496732027,0.23918128654970758,0.7599862258953168,0.9572368421052632,0.5490792759051186,0.3472222222222222,0.7808265582655827,0.300879917184265,0.0,0.14015151515151514,0.6442460317460318
Forest Conglomerant (Togari Group),231,0.6033651882708486,0.935064935064935,0.5736408199643493,0.17912964228753703,0.6702085792994883,0.944078947368421,0.4927039252881949,0.28787878787878796,0.7687678175483054,0.2396386222473179,0.14015151515151514,0.0,0.5532467532467533
